,ID,Owner,Country.of.Origin,Company,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
15,16,cqi q coffee sample representative,United States,coffee quality institute,MarÃ­a Leticia Diosa,10,1 kg,AlmacafÃ©,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,8,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0,0,0,,0.0,"March 12th, 2016",AlmacafÃ©,m,2080.0,2080.0,2080.0
16,17,grounds for health admin,Indonesia,,P.T. Toarco Jaya,1,"2 kg,lbs",Specialty Coffee Association,May-August,"May 31st, 2010",Grounds for Health Admin,,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0,0,,0.0,"May 31st, 2011",Specialty Coffee Association,m,1200.0,1800.0,1500.0
17,18,ethiopia commodity exchange,Ethiopia,,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",Ethiopia Commodity Exchange,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,0,0,,2.0,"June 16th, 2011",Ethiopia Commodity Exchange,m,,,
18,19,yunnan coffee exchange,China,yunnan coffee exchange,Echo Coffee,3,60 kg,Yunnan Coffee Exchange,2015,"April 7th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0,Green,0.0,"April 7th, 2017",Yunnan Coffee Exchange,m,1450.0,1450.0,1450.0
19,20,essencecoffee,Ethiopia,essence coffee,LevelUp,250,60 kg,Blossom Valley International,2014,"March 25th, 2015",EssenceCoffee,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0,0,0,,8.0,"March 24th, 2016",Blossom Valley International,m,1700.0,2000.0,1850.0
20,21,cqi q coffee sample representative,United States,coffee quality institute,NicolÃ¡s Rueda Urrego,10,1 kg,AlmacafÃ©,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,8,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0,0,0,None,0.0,"March 12th, 2016",AlmacafÃ©,m,2019.0,2019.0,2019.0
21,22,the coffee source inc.,Costa Rica,the coffee source inc.,SEVERAL,250,3 lbs,Specialty Coffee Association,2014,"April 2nd, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,8.08,8.25,8,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0,Green,2.0,"April 2nd, 2015",Specialty Coffee Association,m,1300.0,1300.0,1300.0
22,23,roberto licona franco,Mexico,,ROBERTO LICONA FRANCO,14,1 kg,AMECAFE,2012,"July 26th, 2012",ROBERTO LICONA FRANCO,Other,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0,Green,0.0,"July 26th, 2013",AMECAFE,m,1320.0,1320.0,1320.0
23,24,cqi q coffee sample representative,United States,coffee quality institute,Silvia Elena Higuita,10,1 kg,AlmacafÃ©,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0,0,0,,0.0,"March 12th, 2016",AlmacafÃ©,m,2112.0,2112.0,2112.0
24,25,ji-ae ahn,Ethiopia,,,100,60 kg,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Ji-Ae Ahn,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0,Bluish-Green,1.0,"September 3rd, 2014",Specialty Coffee Institute of Asia,m,,,
25,26,nucoffee,Brazil,nucoffee,Ralph Junqueira,3,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,8.5,8.5,8,8,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0,Green,2.0,"December 2nd, 2012",NUCOFFEE,m,1250.0,1250.0,1250.0
26,27,ethiopia commodity exchange,Ethiopia,,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",Ethiopia Commodity Exchange,,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,0,0,,2.0,"June 16th, 2011",Ethiopia Commodity Exchange,m,,,
27,28,kabum trading company,Uganda,kabum trading company,Kabum trading company,100,60 kg,Uganda Coffee Development Authority,2013,"June 26th, 2014",Kabum Trading company,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0,Green,1.0,"June 26th, 2015",Uganda Coffee Development Authority,m,1950.0,1950.0,1950.0
28,29,bismarck castro,Honduras,cigrah s.a de c.v,Reinerio Zepeda,275,69 kg,Instituto HondureÃ±o del CafÃ©,2016,"May 18th, 2017",Bismarck Castro,Caturra,,8.17,8.08,8.08,8,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,0,0,Green,3.0,"May 18th, 2018",Instituto HondureÃ±o del CafÃ©,m,1400.0,1400.0,1400.0
29,30,"lin, che-hao krude ???",Taiwan,taiwan coffee laboratory,"FANG,ZHENG-LUN ???",20,50 kg,Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude ???",Sumatra,Pulped natural / honey,8,8,8,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0,0,0,Green,0.0,"May 18th, 2017",Specialty Coffee Association,m,1200.0,1200.0,1200.0
30,31,nora zeas,Nicaragua,,,275,6,Specialty Coffee Association,,"May 18th, 2010",Nora Zeas,,,7.92,8.25,8,8.33,8.0,8.08,10.0,10.0,10.0,8,86.58,0.08,0,0,,2.0,"May 18th, 2011",Specialty Coffee Association,m,,,
31,32,specialty coffee-korea,"Tanzania, United Republic Of",,,100,60 kg,Specialty Coffee Institute of Asia,2012,"September 3rd, 2013",Specialty Coffee-Korea,,Natural / Dry,8.42,8.17,8.17,8,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0,0,Bluish-Green,1.0,"September 3rd, 2014",Specialty Coffee Institute of Asia,m,,,
32,33,nucoffee,Brazil,nucoffee,Homero Texeira de Macedo Junior,29,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,8.5,8.17,8,7.75,8.0,8.0,10.0,10.0,10.0,8,86.42,0.12,0,0,Green,2.0,"December 2nd, 2012",NUCOFFEE,m,1300.0,1300.0,1300.0
33,34,francisco a mena,Costa Rica,exclusive coffees s.a.,Exclusive Coffees S.A.,250,2 lbs,Specialty Coffee Association of Costa Rica,2015/2016,"December 3rd, 2015",Francisco A Mena,Caturra,Washed / Wet,8.17,7.83,8,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0,0,0,Blue-Green,0.0,"December 2nd, 2016",Specialty Coffee Association of Costa Rica,m,1300.0,1300.0,1300.0
34,35,hider abamecha,Ethiopia,haider abamecha coffee export,Haider Abamecha Abadiko,320,60 kg,METAD Agricultural Development plc,2014,"March 27th, 2015",Hider Abamecha,,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,0,Green,3.0,"March 26th, 2016",METAD Agricultural Development plc,m,1750.0,1800.0,1775.0
35,36,daniel magu,Kenya,c dorman ltd,Kangunu,320,1 kg,Kenya Coffee Traders Association,2013,"May 30th, 2014",Daniel Magu,SL34,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0,Blue-Green,1.0,"May 30th, 2015",Kenya Coffee Traders Association,m,1800.0,1800.0,1800.0
36,37,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,10,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0,1,0,,4.0,"April 6th, 2013",Specialty Coffee Association,ft,,,
37,38,kona pacific farmers cooperative,United States (Hawaii),,Kona Pacific Farmers Co-Op,25,100 lbs,Specialty Coffee Association,2010,"January 28th, 2011",Kona Pacific Farmers Cooperative,,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,0,2,0,,1.0,"January 28th, 2012",Specialty Coffee Association,ft,,,
38,39,ethiopia commodity exchange,Ethiopia,,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,0,0,,2.0,"June 17th, 2011",Ethiopia Commodity Exchange,m,,,
39,40,cqi q coffee sample representative,United States,coffee quality institute,Hugo SepÃºlveda Montoya,10,1 kg,AlmacafÃ©,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0,0,0,,0.0,"March 12th, 2016",AlmacafÃ©,m,1941.0,1941.0,1941.0
40,41,itdp international,Thailand,lanna cafe,ITDP,53,1 kg,Specialty Coffee Association,2012,"April 12th, 2012",ITDP International,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0,Green,9.0,"April 12th, 2013",Specialty Coffee Association,m,1300.0,1300.0,1300.0
41,42,jacques pereira carneiro,Brazil,,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,0,0,,2.0,"January 4th, 2012",Specialty Coffee Association,m,12.0,12.0,12.0
42,43,jacques pereira carneiro,Brazil,,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.42,7.92,8,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,0,0,,3.0,"January 4th, 2012",Specialty Coffee Association,m,12.0,12.0,12.0
43,44,"lin, che-hao krude ???",Taiwan,taiwan coffee laboratory,LIN YEN CHIEN ???,10,15 kg,Specialty Coffee Association,2015,"June 10th, 2015","Lin, Che-Hao Krude ???",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0,Green,0.0,"June 9th, 2016",Specialty Coffee Association,m,1000.0,1000.0,1000.0
44,45,jungle estate,Kenya,keremara limited,JUNGLE ESTATE,12,60 kg,Kenya Coffee Traders Association,2014,"January 29th, 2015",Jungle Estate,SL28,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10.0,10.0,10.0,8,86.08,0.11,0,0,Bluish-Green,2.0,"January 29th, 2016",Kenya Coffee Traders Association,m,1754.0,1754.0,1754.0
45,46,nucoffee,Brazil,nucoffee,Ralph Junqueira,7,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8.0,10.0,10.0,10.0,8,86.08,0.11,0,0,Blue-Green,2.0,"December 2nd, 2012",NUCOFFEE,m,1250.0,1250.0,1250.0
46,47,great lakes coffee uganda,Uganda,ucda,Kaasay Farmer Group,1,60 kg,Uganda Coffee Development Authority,2014,"October 1st, 2014",Great Lakes Coffee Uganda,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86,0,0,0,,0.0,"October 1st, 2015",Uganda Coffee Development Authority,m,,,
47,48,lusso lab,Colombia,lusso coffee lab,,1,2 kg,Specialty Coffee Association,2013,"March 20th, 2014",LUSSO LAB,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86,0.12,1,0,Green,1.0,"March 20th, 2015",Specialty Coffee Association,m,900.0,1500.0,1200.0
48,49,lusso lab,Kenya,lusso coffee lab,,1,1 kg,Specialty Coffee Association,2013,"February 6th, 2014",LUSSO LAB,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86,0.11,0,0,Green,1.0,"February 6th, 2015",Specialty Coffee Association,m,1520.0,2200.0,1860.0
49,50,afca,Uganda,kawacom uganda ltd,Kawacom,1,60 kg,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Washed / Wet,8.25,8,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86,0.1,0,0,Blue-Green,0.0,"February 12th, 2013",Africa Fine Coffee Association,m,1400.0,1900.0,1650.0
50,51,ethiopia commodity exchange,Ethiopia,,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.75,8.08,8,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86,0.01,0,0,,4.0,"June 17th, 2011",Ethiopia Commodity Exchange,m,1500.0,2000.0,1750.0
51,52,grounds for health admin,United States (Hawaii),,Hula Daddy Kona Coffee,1,2,Specialty Coffee Association,Fall 2009,"May 31st, 2010",Grounds for Health Admin,,,8.33,8.17,7.75,8,7.75,7.83,10.0,10.0,10.0,8.17,86,0,0,0,,0.0,"May 31st, 2011",Specialty Coffee Association,ft,426.72,426.72,426.72
52,53,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",MARGARITA AVILA DE NUYENS,80,69 kg,Asociacion Nacional Del CafÃ©,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8,85.92,0.1,0,1,Green,3.0,"May 16th, 2017",Asociacion Nacional Del CafÃ©,m,,,
53,54,kawacom uganda ltd,Uganda,kawacom uganda ltd,Kawacom (U)Ltd,1,60 kg,Uganda Coffee Development Authority,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8,85.92,0.12,0,0,Green,0.0,"June 30th, 2015",Uganda Coffee Development Authority,m,1400.0,1900.0,1650.0
54,55,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,,275,70 kg,AlmacafÃ©,2013,"July 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8,8,8,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0,1,0,Blue-Green,0.0,"July 26th, 2014",AlmacafÃ©,m,1800.0,1800.0,1800.0
55,56,gonzalo hernandez,Panama,ce specialty s.a.,Plinio Ruiz,37,60 kg,Specialty Coffee Association of Costa Rica,2017,"October 9th, 2017",Gonzalo Hernandez,Gesha,Washed / Wet,8,8,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8,85.83,0.08,0,1,Bluish-Green,0.0,"October 9th, 2018",Specialty Coffee Association of Costa Rica,m,1600.0,1600.0,1600.0
56,57,ibrahim hussien speciality coffee producer &export,Ethiopia,ibrahim hussien specality coffee product & exporter,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8,85.83,0.1,0,0,Green,4.0,"April 3rd, 2016",METAD Agricultural Development plc,m,1800.0,2000.0,1900.0
57,58,juan luis alvarado romero,Guatemala,sertrasa,SERTRASA,150,1 kg,Asociacion Nacional Del CafÃ©,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,8,8,8.17,7.83,8.0,10.0,10.0,10.0,8,85.83,0.12,0,0,Green,3.0,"July 3rd, 2013",Asociacion Nacional Del CafÃ©,ft,1524.0,1524.0,1524.0
58,59,juan luis alvarado romero,Guatemala,unicafe,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,Asociacion Nacional Del CafÃ©,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8,85.83,0.1,0,0,Bluish-Green,1.0,"June 5th, 2013",Asociacion Nacional Del CafÃ©,ft,1417.32,1417.32,1417.32
59,60,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,seid damtew coffee export and plantation,320,19200 kg,METAD Agricultural Development plc,2017,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Caturra,Natural / Dry,7.83,8,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8,85.75,0.09,0,4,None,7.0,"June 23rd, 2018",METAD Agricultural Development plc,m,,,
60,61,dane loraas,Peru,sustainable harvest,,280,5 lbs,Specialty Coffee Association,2013,"January 22nd, 2014",Dane Loraas,,Washed / Wet,8,8,8,8.08,7.92,7.75,10.0,10.0,10.0,8,85.75,0.1,4,0,Green,6.0,"January 22nd, 2015",Specialty Coffee Association,m,,,
61,62,"colbran coffeelands, ltd.",Papua New Guinea,cqi,"Colbran CoffeeLands, Ltd.",7,60 kg,Specialty Coffee Association,2012,"October 25th, 2012","Colbran Coffeelands, Ltd.",,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,0,0,Bluish-Green,1.0,"October 25th, 2013",Specialty Coffee Association,m,1700.0,1700.0,1700.0
62,63,atlantic specialty coffee,El Salvador,atlantic specialty coffee,Aida Batlle,275,2 kg,Specialty Coffee Association,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10.0,10.0,10.0,8,85.58,0.1,0,0,Blue-Green,3.0,"March 18th, 2014",Specialty Coffee Association,m,1500.0,1500.0,1500.0
63,64,lusso lab,El Salvador,lusso coffee lab,Oscar Roberto Murgas Linares,19,1 kg,Specialty Coffee Association,2012,"January 12th, 2013",LUSSO LAB,Bourbon,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0,None,0.0,"January 12th, 2014",Specialty Coffee Association,m,1300.0,1400.0,1350.0
64,65,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,8,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,8,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8,85.58,0,0,0,,1.0,"April 6th, 2013",Specialty Coffee Association,ft,,,
65,66,essencecoffee,Panama,essence coffee,Lamastus,100,60 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Caturra,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,2,0,,2.0,"May 22nd, 2016",Blossom Valley International,m,1680.0,1680.0,1680.0
66,67,essencecoffee,Kenya,essence coffee,,16,60 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8,85.5,0.1,0,0,Green,3.0,"May 22nd, 2016",Blossom Valley International,m,1900.0,1900.0,1900.0
67,68,assefa belay coffee producer,Ethiopia,assefa belay coffee producer,Assefa Belay Coffee Producer,320,60 kg,METAD Agricultural Development plc,2015,"March 31st, 2015",Assefa Belay Coffee Producer,Other,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8,85.5,0.12,0,0,Green,7.0,"March 30th, 2016",METAD Agricultural Development plc,m,1800.0,2000.0,1900.0
68,69,kyagalanyi ltd,Uganda,kyagalanyi coffee ltd,Kyagalanyi coffee Ltd,320,60 kg,Uganda Coffee Development Authority,2013,"June 26th, 2014",Kyagalanyi Ltd,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0,0,Green,1.0,"June 26th, 2015",Uganda Coffee Development Authority,m,1600.0,1600.0,1600.0
69,70,juan luis alvarado romero,Guatemala,exportcafe,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),250,69 kg,Asociacion Nacional Del CafÃ©,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,0,0,Green,1.0,"February 26th, 2014",Asociacion Nacional Del CafÃ©,ft,1706.88,1755.648,1731.264
70,71,assefa belay coffee producer,Ethiopia,assefa belay coffee producer,Assefa Belay Coffee Producer,320,60 kg,METAD Agricultural Development plc,2015,"March 31st, 2015",Assefa Belay Coffee Producer,,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,0,0,Green,18.0,"March 30th, 2016",METAD Agricultural Development plc,m,1800.0,2000.0,1900.0
